,country,Year,co2_including_luc
41271,Spain,1961,71.444
41272,Spain,1962,70.795
41273,Spain,1963,60.3
41274,Spain,1964,67.304
41275,Spain,1965,62.89
41276,Spain,1966,95.02
41277,Spain,1967,87.235
41278,Spain,1968,131.445
41279,Spain,1969,102.972
41280,Spain,1970,170.017
41281,Spain,1971,149.574
41282,Spain,1972,151.337
41283,Spain,1973,154.677
41284,Spain,1974,168.834
41285,Spain,1975,171.992
41286,Spain,1976,187.478
41287,Spain,1977,184.298
41288,Spain,1978,188.002
41289,Spain,1979,190.686
41290,Spain,1980,202.345
41291,Spain,1981,195.341
41292,Spain,1982,198.819
41293,Spain,1983,193.437
41294,Spain,1984,185.113
41295,Spain,1985,188.917
41296,Spain,1986,177.848
41297,Spain,1987,178.549
41298,Spain,1988,186.919
41299,Spain,1989,212.181
41300,Spain,1990,216.851
41301,Spain,1991,223.756
41302,Spain,1992,225.194
41303,Spain,1993,215.71
41304,Spain,1994,206.922
41305,Spain,1995,261.774
41306,Spain,1996,237.858
41307,Spain,1997,230.739
41308,Spain,1998,248.782
41309,Spain,1999,275.158
41310,Spain,2000,279.862
41311,Spain,2001,284.642
41312,Spain,2002,316.256
41313,Spain,2003,321.936
41314,Spain,2004,334.354
41315,Spain,2005,345.367
41316,Spain,2006,333.601
41317,Spain,2007,343.312
41318,Spain,2008,311.747
41319,Spain,2009,273.63
41320,Spain,2010,254.062
41321,Spain,2011,295.985
41322,Spain,2012,262.239
41323,Spain,2013,237.062
41324,Spain,2014,238.21
41325,Spain,2015,249.348
41326,Spain,2016,239.523
41327,Spain,2017,255.303
41328,Spain,2018,249.668
41329,Spain,2019,231.262
41330,Spain,2020,193.952
41331,Spain,2021,210.31
41332,Spain,2022,225.618
